Name,Other Names,Owner,Operator,Vessel Categor,Vessel Description,Vessel Classification,Maximum Endurance,Heli Deck,Maximum Working Depth,Flag,Construction Country,Construction Location,Year Built,Year Last Converted,Date of Delivery,Main Characteristics,Breadth,Minimum Draft,Maximum Draft,Passengers
Edda Freya,,Østensjø Rederi AS,DeepOcean 1 UK Ltd,Cable Installation,Cable laying vessel,DNV GL ✠ 1A1| SF| EO| DYNPOS AUTRO| COMF C(3)| Comf V(3)| Clean Design| BIS| ICE 1C| DK(+)| TMON| CRANE| NAUT OSV(A)-ICS| HELDSK-SH (CAA-N),,Yes,,Norway,NO,Kleven Vrft,2016,,25-May-2016,149.8 m,27 m,,8.325 m,,
Eide Barge 28,Fairalp 2,EIDE Marine Services AS,EIDE Marine Services AS,Cable Installation,Cable lay barge,DNV GL ✠ 1A1 Barge for Deck Cargo,,No,,Netherlands,DE,Howaldtswerke-Deutsche Werft| Kiel,1978,,1976,91.44 m,27.43 m,6.5 m,6.5 m,,
Forth Guardsman,Rupert River,Briggs Marine & Environmental Services,Briggs Marine & Environmental Services,Cable Installation,Cable laying vessel,UK MCA Loadline Exemption Certificate,,No,,United Kingdom,JN,Kambara| Tokyo (115),1983,,1983,58 m,14.8 m,0.9 m,2 m,,
Forth Sentinel,Forth Sentinel,Briggs Marine & Environmental Services,Briggs Marine & Environmental Services,Cable Installation,Multicat,LR  ✠ 100 A1 LR| LMC| Tug Coastal,,No,,United Kingdom,NL,Deltawerf,1991,,Jul-1991,28.25 m,9.5 m,,2.1 m,,
Fugro Saltire,,Forland Shipping,Forland Shipping,Cable Installation,Cable laying vessel,DNV GL ✠ 1A1 E0 Dynpos AUTR| Comfort V(3) - C(3)| Clean| HELDK-SH| Dk(+)| SF| ICE C,90 days,Yes,,Norway,NO,Bergen Yards BMV AS,2008,,25-Jun-2008,111 m,24 m,6 m,7.5 m,,
Giulio Verne,ITM Venturer,Prysmian PowerLink Services Ltd,Prysmian PowerLink Services Ltd,Cable Installation,Cable laying vessel,RINA,,Yes,,Italy,KR,Hyundai Mipo Dockyard Company Limited| Ulsan,1984,,1984,133.18 m,30.48 m,5.19 m,8.5 m,50 persons,
Hae Chun 1(해천 1호),,HAE CHUN Co. Ltd (해천),HAE CHUN Co. Ltd (해천),Cable Installation,Cable lay barge,,,No,,South Korea,JN,Nakada Shipyards,2002,,2002,66.36 m,25 m,,3.5 m,,
Havila Phoenix,,Havila,DeepOcean 1 UK Ltd,Cable Installation,Cable laying vessel,DNV GL ✠ 1A1 Clean(Design) COMF(V-3) DK(+) DYNPOS(AUTR) E0 HELDK(S| H) Ice(C) NAUT(AW) SF,,Yes,,The Bahamas,NO,Havyard Leirvik AS ,2009,,04-Mar-2009,127.4 m,23 m,,6.25 m,,
Henry P. Lading,,JD-Contractor AS,JD-Contractor AS,Cable Installation,Cable lay barge,BV I ✠ Mach| Unrestricted navigation,,No,,Denmark,GB,Palmers'S B. & Iron Co Ltd| Newcastle,1930,,19-Jan-1930,81.71 m,21.3 m,2.4 m,3.24 m,,
Isaac Newton,JDN8628,Jan de Nul Group,Jan de Nul Group,Cable Installation,Multi purpose,DNV GL ✠ 100 A5 Offshore service vessel(SPS) "Cable Laying Vessel" BWM (D2) HC(3) IW MC AUT Crane DP(2) HELIL,,Yes,200 m,Luxembourg,CR,Uljanik Shipyard| Pula,2015,,27-Nov-2015,138 m,32 m,3.85 m,6.5 m,,
